🏅世界杯频道,#genre#
CCTV-4中文国际,http://39.135.138.59:18890/PLTV/88888910/224/3221225621/index.m3u8
CCTV-5体育,http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV-5体育,http://39.134.115.163:8080/PLTV/88888910/224/3221225648/index.m3u8
CCTV-5+体育赛事,http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8
CCTV-5+体育赛事,http://39.134.115.163:8080/PLTV/88888910/224/3221225706/index.m3u8
CCTV-5+体育赛事,http://39.135.138.59:18890/PLTV/88888910/224/3221225649/index.m3u8
CCTV-6电影,http://39.134.115.163:8080/PLTV/88888910/224/3221225632/index.m3u8
CCTV-6电影,http://39.135.138.59:18890/PLTV/88888910/224/3221225650/index.m3u8
CCTV-6电影,http://117.169.120.140:8080/live/cctv-6/.m3u8
CCTV-6电影,http://183.207.248.37/PLTV/3/224/3221227209/index.m3u8
CCTV-7国防军事,http://39.134.115.163:8080/PLTV/88888910/224/3221225624/index.m3u8
CCTV-7国防军事,http://39.134.115.163:8080/PLTV/88888910/224/3221225644/index.m3u8
CCTV-7国防军事,http://39.135.138.59:18890/PLTV/88888910/224/3221225624/index.m3u8
CCTV-7国防军事,http://117.169.120.140:8080/live/cctv-7/.m3u8
CCTV-7国防军事,http://183.207.248.10/PLTV/3/224/3221225546/index.m3u8
